entity_id,name,type,branch,ring,degree,source
1,Jeffrey Epstein,person,exploitation,1,90,base_override
2,Ghislaine Maxwell,person,exploitation,1,28,old_branch:inner_circle
3,Robert Maxwell,person,intelligence,1,17,old_branch:intelligence
4,Les Wexner,person,financial,1,14,old_branch:financial
5,Ehud Barak,person,power,1,8,old_branch:political
6,Peter Thiel,person,financial,2,3,old_branch:financial
7,Alex Karp,person,financial,3,1,old_branch:financial
8,William Barr,person,power,2,6,old_branch:political
9,Donald Barr,person,intelligence,3,2,old_branch:intelligence
10,William Casey,person,intelligence,1,6,old_branch:intelligence
11,Roy Cohn,person,hidden_history,1,7,old_branch:organized_crime
12,Robert Keith Gray,person,intelligence,2,3,old_branch:intelligence
13,Craig Spence,person,exploitation,3,1,base_override
14,Edwin Wilson,person,intelligence,3,2,old_branch:intelligence
15,Frank Terpil,person,intelligence,3,1,old_branch:intelligence
16,J. Edgar Hoover,person,intelligence,1,6,old_branch:intelligence
17,James Angleton,person,intelligence,2,3,old_branch:intelligence
18,Meyer Lansky,person,hidden_history,1,10,old_branch:organized_crime
19,Kamal Adham,person,intelligence,2,4,old_branch:intelligence
20,Agha Hasan Abedi,person,intelligence,3,2,old_branch:intelligence
21,Clark Clifford,person,power,3,1,old_branch:legal
22,Marc Rich,person,power,2,3,old_branch:legal
23,Jackson Stephens,person,power,3,2,old_branch:legal
24,Barry Seal,person,intelligence,2,4,old_branch:intelligence
25,Bill Hamilton,person,intelligence,3,1,old_branch:intelligence
26,Danny Casolaro,person,intelligence,3,2,old_branch:intelligence
27,Adnan Khashoggi,person,intelligence,1,6,old_branch:intelligence
28,Richard Helms,person,intelligence,2,4,old_branch:intelligence
29,John Poindexter,person,power,3,1,old_branch:political
30,Leon Black,person,financial,2,3,old_branch:financial
31,Hillary Clinton,person,power,3,1,old_branch:political
32,Bill Clinton,person,power,1,24,old_branch:political
33,Donald Trump,person,power,1,40,old_branch:political
34,Fat Tony Salerno,person,hidden_history,1,5,old_branch:organized_crime
35,Paul Castellano,person,hidden_history,1,5,old_branch:organized_crime
36,Felix Sater,person,hidden_history,2,4,old_branch:organized_crime
37,Alexander Acosta,person,power,2,4,base_override
38,Alan Dershowitz,person,exploitation,1,5,base_override
39,John Gotti,person,hidden_history,1,6,old_branch:organized_crime
40,Angelo Bruno,person,hidden_history,1,5,old_branch:organized_crime
41,Nicky Scarfo,person,hidden_history,1,5,old_branch:organized_crime
42,John Stanfa,person,hidden_history,1,6,old_branch:organized_crime
43,Joey Merlino,person,hidden_history,3,2,old_branch:organized_crime
44,John-John Veasey,person,hidden_history,2,3,old_branch:organized_crime
45,Lucky Luciano,person,hidden_history,2,3,old_branch:organized_crime
46,Bugsy Siegel,person,hidden_history,2,3,old_branch:organized_crime
47,Sammy Gravano,person,hidden_history,2,3,old_branch:organized_crime
48,Frankie Carbo,person,hidden_history,2,4,old_branch:organized_crime
49,Blinky Palermo,person,hidden_history,3,2,old_branch:organized_crime
50,Kenneth Shapiro,person,hidden_history,3,2,old_branch:organized_crime
51,Salvatore Testa,person,hidden_history,2,3,old_branch:organized_crime
52,Robert LiButti,person,hidden_history,3,2,old_branch:organized_crime
53,Rafi Eitan,person,intelligence,1,8,old_branch:intelligence
54,BCCI,organization,financial,1,18,base_override
55,First American Bank,organization,financial,3,2,base_override
56,JPMorgan Chase,organization,financial,1,8,old_branch:financial
57,Deutsche Bank,organization,financial,1,16,old_branch:financial
58,Bear Stearns,organization,financial,3,2,old_branch:financial
59,Palantir Technologies,organization,intelligence,2,6,old_branch:intelligence
60,In-Q-Tel,organization,intelligence,2,3,old_branch:intelligence
61,Hill & Knowlton,organization,narrative,3,1,base_override
62,Rose Law Firm,organization,power,2,3,old_branch:legal
63,Systematics,organization,intelligence,2,4,old_branch:intelligence
64,Southern Air Transport,organization,intelligence,2,6,old_branch:intelligence
65,The Limited,organization,financial,3,2,old_branch:financial
66,Mega Group,organization,financial,1,9,old_branch:financial
67,Carbyne,organization,exploitation,2,4,old_branch:inner_circle
68,Wexner Foundation,foundation,financial,3,2,old_branch:financial
69,Apollo Global Management,organization,financial,3,1,old_branch:financial
70,CAPCOM,organization,financial,3,1,base_override
71,Glencore,organization,resource,3,1,base_override
72,George Town Club,facility,elite_social,3,1,base_override
73,Bayrock Group,organization,financial,2,3,base_override
74,Resorts International,organization,hidden_history,2,3,base_override
75,Mar-a-Lago,facility,elite_social,2,3,base_override
76,Little Saint James,facility,exploitation,1,8,old_branch:inner_circle
77,The Commission,organization,hidden_history,1,8,old_branch:organized_crime
78,Gambino Crime Family,organization,hidden_history,2,5,old_branch:organized_crime
79,Genovese Crime Family,organization,hidden_history,2,3,old_branch:organized_crime
80,Lucchese Crime Family,organization,hidden_history,3,2,old_branch:organized_crime
81,Philadelphia Crime Family,organization,hidden_history,1,7,old_branch:organized_crime
82,Murder Incorporated,organization,hidden_history,2,4,old_branch:organized_crime
83,Scarf Inc,organization,hidden_history,3,2,old_branch:organized_crime
84,S&A Concrete,organization,hidden_history,2,3,old_branch:organized_crime
85,CIA,agency,intelligence,1,98,old_branch:intelligence
86,NSA,agency,intelligence,1,28,old_branch:intelligence
87,FBI,agency,intelligence,1,26,old_branch:intelligence
88,Mossad,agency,intelligence,1,25,old_branch:intelligence
89,DOJ,agency,power,1,16,old_branch:legal
90,DARPA,agency,intelligence,1,7,old_branch:intelligence
91,PROMIS,program,intelligence,1,11,old_branch:intelligence
92,Main Core,program,intelligence,3,2,old_branch:intelligence
93,Total Information Awareness,program,intelligence,2,4,old_branch:intelligence
94,MKULTRA,program,intelligence,1,8,old_branch:intelligence
95,COINTELPRO,program,intelligence,3,2,old_branch:intelligence
96,Iran-Contra,program,intelligence,1,19,old_branch:intelligence
97,Operation Midnight Climax,program,intelligence,3,2,old_branch:intelligence
98,LifeLog,program,intelligence,3,2,old_branch:intelligence
99,BCCI Shutdown (1991),event,financial,3,2,base_override
100,Epstein NPA (2007),event,exploitation,1,8,base_override
101,Epstein Arrest (2019),event,exploitation,3,1,base_override
102,Epstein Death (2019),event,exploitation,2,4,base_override
103,Danny Casolaro Death (1991),event,intelligence,3,2,old_branch:intelligence
104,Robert Maxwell Death (1991),event,intelligence,3,1,old_branch:intelligence
105,Wexner House Oversight Deposition (2026),event,exploitation,3,1,base_override
106,Commission Trial (1986),event,hidden_history,2,3,old_branch:organized_crime
107,Castellano Assassination (1985),event,hidden_history,3,2,old_branch:organized_crime
108,Prince Andrew,person,power,1,16,old_branch:political
109,Bill Richardson,person,power,2,5,old_branch:political
110,George Mitchell,person,power,3,2,old_branch:political
111,Henry Kissinger,person,power,1,16,old_branch:political
112,Larry Summers,person,power,2,5,old_branch:political
113,Rudy Giuliani,person,power,2,5,old_branch:political
114,Sandy Berger,person,power,2,4,old_branch:political
115,Kissinger Associates,organization,power,2,3,old_branch:political
116,Hollinger International,organization,elite_social,2,2,old_branch:hollywood
117,Prince Andrew Civil Settlement (2022),event,power,3,2,old_branch:political
118,Berger Archives Theft (2003),event,power,3,1,old_branch:political
119,Charles Bronfman,person,financial,1,7,old_branch:financial
120,Edgar Bronfman Sr.,person,financial,2,4,old_branch:financial
121,Ronald Lauder,person,financial,2,5,old_branch:financial
122,Michael Steinhardt,person,financial,2,5,old_branch:financial
123,Glenn Dubin,person,financial,2,4,old_branch:financial
124,Jes Staley,person,financial,2,6,old_branch:financial
125,Steven Hoffenberg,person,financial,3,2,old_branch:financial
126,Lynn Forester de Rothschild,person,financial,2,6,old_branch:financial
127,Mort Zuckerman,person,financial,2,4,old_branch:financial
128,Steve Bing,person,financial,2,5,old_branch:financial
129,Tom Barrack,person,financial,2,6,old_branch:financial
130,Towers Financial,organization,financial,2,3,old_branch:financial
131,Seagram,organization,financial,2,3,old_branch:financial
132,Birthright Israel,organization,financial,3,2,old_branch:financial
133,Colony Capital,organization,financial,3,2,old_branch:financial
134,Harvey Weinstein,person,elite_social,1,10,old_branch:hollywood
135,Jean-Luc Brunel,person,elite_social,1,12,old_branch:hollywood
136,Kevin Spacey,person,elite_social,2,2,old_branch:hollywood
137,Woody Allen,person,elite_social,2,3,old_branch:hollywood
138,Naomi Campbell,person,elite_social,3,2,old_branch:hollywood
139,Ari Emanuel,person,elite_social,3,1,old_branch:hollywood
140,Les Moonves,person,elite_social,2,3,old_branch:hollywood
141,Peggy Siegal,person,elite_social,2,6,old_branch:hollywood
142,MC2 Model Management,organization,elite_social,1,7,old_branch:hollywood
143,Black Cube,organization,elite_social,2,5,old_branch:hollywood
144,Victoria's Secret,organization,elite_social,3,2,old_branch:hollywood
145,Jean-Luc Brunel Death (2022),event,exploitation,2,3,old_branch:inner_circle
146,Virginia Giuffre,person,exploitation,1,12,old_branch:inner_circle
147,Maria Farmer,person,exploitation,2,4,old_branch:inner_circle
148,Courtney Wild,person,exploitation,2,3,old_branch:inner_circle
149,Sarah Kellen,person,exploitation,1,5,old_branch:inner_circle
150,Nadia Marcinkova,person,exploitation,2,4,old_branch:inner_circle
151,Lesley Groff,person,exploitation,2,5,old_branch:inner_circle
152,Nicole Junkermann,person,exploitation,2,4,old_branch:inner_circle
153,Eva Andersson-Dubin,person,exploitation,2,3,old_branch:inner_circle
154,Celina Midelfart,person,exploitation,2,3,old_branch:inner_circle
155,Dalton School,organization,exploitation,3,2,old_branch:inner_circle
156,Zorro Ranch,facility,exploitation,2,5,old_branch:inner_circle
157,9 East 71st Street,facility,exploitation,2,4,old_branch:inner_circle
158,MCC New York,facility,exploitation,3,2,old_branch:inner_circle
159,Epstein Palm Beach Investigation (2005),event,exploitation,3,2,old_branch:inner_circle
160,Maxwell Trial (2021),event,exploitation,2,4,expansion:expansion_inner_circle
161,Osama bin Laden,person,intelligence,3,1,expansion:expansion_911
162,Khalid Sheikh Mohammed,person,intelligence,3,1,expansion:expansion_911
163,Mohamed Atta,person,intelligence,3,2,expansion:expansion_911
164,Nawaf al-Hazmi,person,intelligence,3,1,expansion:expansion_911
165,Khalid al-Mihdhar,person,intelligence,3,1,expansion:expansion_911
166,George Tenet,person,intelligence,3,1,expansion:expansion_911
167,Richard Clarke,person,intelligence,3,1,expansion:expansion_911
168,Condoleezza Rice,person,intelligence,3,2,expansion:expansion_911
169,Philip Zelikow,person,intelligence,3,2,expansion:expansion_911
170,9/11 Commission,organization,intelligence,3,2,expansion:expansion_911
171,Sibel Edmonds,person,intelligence,3,2,expansion:expansion_911
172,Bob Graham,person,intelligence,3,1,expansion:expansion_911
173,PNAC,organization,intelligence,3,0,expansion:expansion_911
174,Al-Qaeda,organization,intelligence,3,2,expansion:expansion_911
175,Operation Able Danger,program,intelligence,3,1,expansion:expansion_911
176,Stellar Wind,program,intelligence,3,2,expansion:expansion_911
177,USA PATRIOT Act,legislation,intelligence,3,1,expansion:expansion_911
178,Authorization for Use of Military Force (2001),legislation,intelligence,3,0,expansion:expansion_911
179,World Trade Center,facility,intelligence,3,0,expansion:expansion_911
180,The Pentagon,facility,intelligence,3,2,expansion:expansion_911
181,September 11 Attacks,event,intelligence,1,9,expansion:expansion_911
182,WTC Building 7 Collapse,event,intelligence,3,1,expansion:expansion_911
183,Shirō Ishii,person,health,2,2,expansion:expansion_bioweapons
184,Frank Olson,person,health,1,3,expansion:expansion_bioweapons
185,Ken Alibek,person,health,3,1,expansion:expansion_bioweapons
186,William Patrick III,person,health,1,3,expansion:expansion_bioweapons
187,Bruce Ivins,person,health,2,2,expansion:expansion_bioweapons
188,USAMRIID,agency,health,1,9,expansion:expansion_bioweapons
189,DTRA,agency,health,3,1,expansion:expansion_bioweapons
190,Biopreparat,organization,health,1,3,expansion:expansion_bioweapons
191,Dugway Proving Ground,facility,health,2,2,expansion:expansion_bioweapons
192,Gruinard Island,facility,health,3,1,expansion:expansion_bioweapons
193,Unit 731,program,health,2,2,expansion:expansion_bioweapons
194,Project MKNaomi,program,health,2,3,expansion:expansion_bioweapons
195,Amerithrax Investigation,event,health,2,3,expansion:expansion_bioweapons
196,Sverdlovsk Anthrax Leak,event,health,3,1,expansion:expansion_bioweapons
197,Unit 731 Immunity Deal,event,health,2,2,expansion:expansion_bioweapons
198,Fort Detrick Lab Shutdown,event,health,3,1,expansion:expansion_bioweapons
199,Biological Weapons Convention,legislation,health,2,2,expansion:expansion_bioweapons
200,Ronald Reagan,person,power,1,7,expansion:expansion_bohemian_grove
201,George H.W. Bush,person,power,1,7,expansion:expansion_bohemian_grove
202,George W. Bush,person,power,1,9,expansion:expansion_bohemian_grove
203,Dick Cheney,person,power,2,3,expansion:expansion_bohemian_grove
204,Donald Rumsfeld,person,power,2,3,expansion:expansion_bohemian_grove
205,Colin Powell,person,power,3,2,expansion:expansion_bohemian_grove
206,Caspar Weinberger,person,power,2,4,expansion:expansion_bohemian_grove
207,George Shultz,person,power,2,3,expansion:expansion_bohemian_grove
208,Edwin Meese,person,power,2,3,expansion:expansion_bohemian_grove
209,Alan Greenspan,person,power,2,5,expansion:expansion_bohemian_grove
210,Edwin Fuelner,person,power,3,2,expansion:expansion_bohemian_grove
211,Joseph Coors Sr,person,power,3,2,expansion:expansion_bohemian_grove
212,Charles Koch,person,power,3,2,expansion:expansion_bohemian_grove
213,Harlan Crow,person,power,3,2,expansion:expansion_bohemian_grove
214,Clarence Thomas,person,power,3,2,expansion:expansion_bohemian_grove
215,David McCormick,person,power,2,5,expansion:expansion_bohemian_grove
216,Steven Bechtel Sr,person,power,2,3,expansion:expansion_bohemian_grove
217,Brendan Bechtel,person,power,2,4,expansion:expansion_bohemian_grove
218,Michael Bloomberg,person,power,3,2,expansion:expansion_bohemian_grove
219,Bohemian Club,organization,power,1,26,expansion:expansion_bohemian_grove
220,Heritage Foundation,organization,power,2,6,expansion:expansion_bohemian_grove
221,Bechtel Corporation,organization,power,2,6,expansion:expansion_bohemian_grove
222,Project 2025,event,power,3,2,expansion:expansion_bohemian_grove
223,Social Security Reform 1983,event,power,3,3,expansion:expansion_bohemian_grove
224,Johnny Chung,person,power,2,4,expansion:expansion_china
225,John Huang,person,power,2,4,expansion:expansion_china
226,Charlie Trie,person,power,3,3,expansion:expansion_china
227,Bernard Schwartz,person,power,3,3,expansion:expansion_china
228,Liu Chaoying,person,power,3,3,expansion:expansion_china
229,Wang Jun,person,power,2,4,expansion:expansion_china
230,Desmond Shum,person,power,2,5,expansion:expansion_china
231,MSS,agency,power,1,8,expansion:expansion_china
232,CITIC Group,organization,power,2,5,expansion:expansion_china
233,Lippo Group,organization,power,2,4,expansion:expansion_china
234,Cox Report (1999),event,power,2,4,expansion:expansion_china
235,Ingo Swann,person,consciousness,1,4,expansion:expansion_consciousness
236,Hal Puthoff,person,consciousness,1,4,expansion:expansion_consciousness
237,Russell Targ,person,consciousness,3,1,expansion:expansion_consciousness
238,Pat Price,person,consciousness,3,1,expansion:expansion_consciousness
239,Joseph McMoneagle,person,consciousness,2,2,expansion:expansion_consciousness
240,Edwin May,person,consciousness,2,2,expansion:expansion_consciousness
241,Dale Graff,person,consciousness,3,1,expansion:expansion_consciousness
242,Albert Stubblebine,person,consciousness,2,3,expansion:expansion_consciousness
243,Jim Channon,person,consciousness,3,1,expansion:expansion_consciousness
244,Robert Monroe,person,consciousness,3,1,expansion:expansion_consciousness
245,SRI International,organization,consciousness,1,9,expansion:expansion_consciousness
246,Monroe Institute,organization,consciousness,2,2,expansion:expansion_consciousness
247,DIA,agency,consciousness,1,7,expansion:expansion_consciousness
248,Project Stargate,program,consciousness,1,17,expansion:expansion_consciousness
249,Gateway Process,program,consciousness,2,2,expansion:expansion_consciousness
250,First Earth Battalion,program,consciousness,2,2,expansion:expansion_consciousness
251,Gateway Process Report,event,consciousness,3,1,expansion:expansion_consciousness
252,Stargate Declassification,event,consciousness,2,3,expansion:expansion_consciousness
253,Dean Radin,person,consciousness,2,3,expansion:expansion_consciousness_deep
254,Jessica Utts,person,consciousness,2,2,expansion:expansion_consciousness_deep
255,Jim Marrs,person,consciousness,3,1,expansion:expansion_consciousness_deep
256,Paul Smith,person,consciousness,2,3,expansion:expansion_consciousness_deep
257,Lyn Buchanan,person,consciousness,3,1,expansion:expansion_consciousness_deep
258,David Morehouse,person,consciousness,3,1,expansion:expansion_consciousness_deep
259,Angela Dellafiora Ford,person,consciousness,2,2,expansion:expansion_consciousness_deep
260,Ed Dames,person,consciousness,2,2,expansion:expansion_consciousness_deep
261,Andrija Puharich,person,consciousness,2,2,expansion:expansion_consciousness_deep
262,Jacques Vallée,person,consciousness,1,5,expansion:expansion_consciousness_deep
263,Edgar Mitchell,person,consciousness,3,1,expansion:expansion_consciousness_deep
264,IONS,organization,consciousness,2,2,expansion:expansion_consciousness_deep
265,SAIC,organization,consciousness,2,3,expansion:expansion_consciousness_deep
266,PSI Tech,organization,consciousness,2,3,expansion:expansion_consciousness_deep
267,Farsight Institute,organization,consciousness,3,1,expansion:expansion_consciousness_deep
268,Project Scanate,program,consciousness,3,2,expansion:expansion_consciousness_deep
269,Project Grill Flame,program,consciousness,2,4,expansion:expansion_consciousness_deep
270,Project Center Lane,program,consciousness,2,4,expansion:expansion_consciousness_deep
271,Project Sun Streak,program,consciousness,3,2,expansion:expansion_consciousness_deep
272,Brien Foerster,person,cosmology,2,1,expansion:expansion_cosmology_deep
273,Christopher Dunn,person,cosmology,2,1,expansion:expansion_cosmology_deep
274,Edgar Cayce,person,cosmology,3,1,expansion:expansion_cosmology_deep
275,Zecharia Sitchin,person,cosmology,3,1,expansion:expansion_cosmology_deep
276,Michael Tellinger,person,cosmology,3,1,expansion:expansion_cosmology_deep
277,Walter Cruttenden,person,cosmology,3,1,expansion:expansion_cosmology_deep
278,Flinders Petrie,person,cosmology,3,1,expansion:expansion_cosmology_deep
279,Yonaguni Monument,facility,cosmology,3,0,expansion:expansion_cosmology_deep
280,Derinkuyu,facility,cosmology,3,0,expansion:expansion_cosmology_deep
281,Sacsayhuamán,facility,cosmology,3,1,expansion:expansion_cosmology_deep
282,Nan Madol,facility,cosmology,3,0,expansion:expansion_cosmology_deep
283,Carnac Stones,facility,cosmology,3,0,expansion:expansion_cosmology_deep
284,Teotihuacan,facility,cosmology,3,0,expansion:expansion_cosmology_deep
285,Association for Research and Enlightenment,organization,cosmology,3,1,expansion:expansion_cosmology_deep
286,Binary Research Institute,organization,cosmology,3,1,expansion:expansion_cosmology_deep
287,Gobekli Tepe,facility,cosmology,1,4,expansion:expansion_cosmology_origins
288,Puma Punku,facility,cosmology,2,2,expansion:expansion_cosmology_origins
289,Great Sphinx,facility,cosmology,1,4,expansion:expansion_cosmology_origins
